src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic,size_traffic
172.16.40.96,172.16.40.180,161,51954,1651680238267,1651680238281,647,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238273,1651680238283,662,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238281,1651680238287,646,0,7153504
172.16.40.53,172.16.40.180,161,51954,1651680237964,1651680238288,2236,0,16331871
172.16.40.180,172.16.40.49,51954,161,1651680238283,1651680238289,666,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238288,1651680238294,672,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238290,1651680238300,675,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238294,1651680238300,652,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238302,1651680238310,648,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238301,1651680238311,659,0,6058842
172.16.40.180,172.16.40.49,51954,161,1651680238312,1651680238321,661,0,6413810
172.16.40.180,172.16.40.45,51954,161,1651680236982,1651680238322,1562,0,13394578
172.16.40.180,172.16.40.96,51954,161,1651680238310,1651680238327,647,0,7153504
172.16.40.49,172.16.40.180,161,51954,1651680238325,1651680238332,674,0,6058842
172.16.40.96,172.16.40.180,161,51954,1651680238329,1651680238334,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238334,1651680238339,645,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238332,1651680238344,663,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238341,1651680238346,670,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238347,1651680238352,655,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238344,1651680238353,640,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238361,1651680238367,649,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238355,1651680238375,639,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238367,1651680238377,646,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238375,1651680238385,644,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238381,1651680238386,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238386,1651680238392,646,0,7153504
172.16.40.49,172.16.40.180,161,51954,1651680238389,1651680238397,650,0,6058842
172.16.40.180,172.16.40.103,51954,161,1651680236739,1651680238401,1376,0,6412720
172.16.40.96,172.16.40.180,161,51954,1651680238393,1651680238405,668,0,6532321
172.16.40.180,172.16.40.49,51954,161,1651680238397,1651680238406,641,0,6413810
172.16.40.180,172.16.40.115,51954,161,1651680236919,1651680238409,619,0,5513951
172.16.40.180,172.16.40.96,51954,161,1651680238406,1651680238411,656,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238412,1651680238418,649,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238408,1651680238418,646,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238418,1651680238423,646,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238419,1651680238436,643,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238424,1651680238444,648,0,6532321
172.16.40.103,172.16.40.180,161,51954,1651680238407,1651680238447,647,0,6358906
172.16.40.49,172.16.40.180,161,51954,1651680238439,1651680238447,643,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238444,1651680238449,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238451,1651680238456,667,0,6532321
172.16.40.180,172.16.40.49,51954,161,1651680238447,1651680238458,641,0,6413810
172.16.40.115,172.16.40.180,161,51954,1651680238416,1651680238460,640,0,5454799
172.16.40.180,172.16.40.96,51954,161,1651680238456,1651680238461,651,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238463,1651680238468,654,0,6532321
172.16.40.180,172.16.40.23,51954,161,1651680236924,1651680238471,1031,0,8869688
172.16.40.180,172.16.40.88,51954,161,1651680236834,1651680238475,1447,0,8440856
172.16.40.6,172.16.40.180,161,51954,1651680236367,1651680238476,667,0,11042702
172.16.40.180,172.16.40.3,51954,161,1651680236250,1651680238476,1383,0,12764273
172.16.40.29,172.16.40.180,161,51954,1651680237852,1651680238476,661,0,9848599
172.16.40.180,172.16.40.103,51954,161,1651680238447,1651680238479,646,0,6412720
172.16.40.49,172.16.40.180,161,51954,1651680238460,1651680238480,666,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238468,1651680238483,646,0,7153504
172.16.40.2,172.16.40.180,161,51954,1651680238032,1651680238486,1453,0,44873554
172.16.40.180,172.16.40.49,51954,161,1651680238480,1651680238489,652,0,6413810
172.16.40.180,172.16.40.115,51954,161,1651680238460,1651680238491,628,0,5513951
172.16.40.96,172.16.40.180,161,51954,1651680238485,1651680238491,648,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238491,1651680238496,646,0,7153504
172.16.40.49,172.16.40.180,161,51954,1651680238492,1651680238501,648,0,6058842
172.16.40.96,172.16.40.180,161,51954,1651680238498,1651680238503,647,0,6532321
172.16.40.115,172.16.40.180,161,51954,1651680238493,1651680238503,621,0,5454799
172.16.40.103,172.16.40.180,161,51954,1651680238488,1651680238505,646,0,6358906
172.16.40.180,172.16.40.96,51954,161,1651680238503,1651680238509,668,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238502,1651680238510,647,0,6413810
172.16.40.180,172.16.40.115,51954,161,1651680238503,1651680238513,618,0,5513951
172.16.40.49,172.16.40.180,161,51954,1651680238512,1651680238521,647,0,6058842
172.16.40.96,172.16.40.180,161,51954,1651680238510,1651680238521,656,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238522,1651680238527,648,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238521,1651680238530,645,0,6413810
172.16.40.180,172.16.40.103,51954,161,1651680238505,1651680238532,652,0,6412720
172.16.40.96,172.16.40.180,161,51954,1651680238528,1651680238534,647,0,6532321
172.16.40.115,172.16.40.180,161,51954,1651680238527,1651680238539,620,0,5454799
172.16.40.180,172.16.40.69,51954,161,1651680236467,1651680238541,2236,0,9620609
172.16.40.180,172.16.40.90,51954,161,1651680236724,1651680238541,1383,0,8164689
172.16.40.180,172.16.40.96,51954,161,1651680238534,1651680238541,646,0,7153504
172.16.40.180,172.16.40.77,51954,161,1651680237568,1651680238542,665,0,26691042
172.16.40.49,172.16.40.180,161,51954,1651680238532,1651680238545,664,0,6058842
172.16.40.96,172.16.40.180,161,51954,1651680238543,1651680238548,646,0,6532321
172.16.40.180,172.16.40.49,51954,161,1651680238545,1651680238553,655,0,6413810
172.16.40.180,172.16.40.96,51954,161,1651680238548,1651680238554,668,0,7153504
172.16.40.2,172.16.40.180,161,51954,1651680238487,1651680238554,666,0,44873554
172.16.40.49,172.16.40.180,161,51954,1651680238557,1651680238564,649,0,6058842
172.16.40.180,172.16.40.104,51954,161,1651680237236,1651680238567,1389,0,8313880
172.16.40.96,172.16.40.180,161,51954,1651680238562,1651680238567,657,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238567,1651680238573,648,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238565,1651680238574,646,0,6413810
172.16.40.180,172.16.40.115,51954,161,1651680238539,1651680238578,618,0,5513951
172.16.40.103,172.16.40.180,161,51954,1651680238539,1651680238580,652,0,6358906
172.16.40.96,172.16.40.180,161,51954,1651680238575,1651680238580,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238581,1651680238586,647,0,7153504
172.16.40.49,172.16.40.180,161,51954,1651680238577,1651680238588,647,0,6058842
172.16.40.96,172.16.40.180,161,51954,1651680238587,1651680238592,646,0,6532321
172.16.40.180,172.16.40.49,51954,161,1651680238588,1651680238597,646,0,6413810
172.16.40.180,172.16.40.96,51954,161,1651680238593,1651680238604,667,0,7153504
172.16.40.49,172.16.40.180,161,51954,1651680238600,1651680238608,662,0,6058842
172.16.40.180,172.16.40.103,51954,161,1651680238580,1651680238610,647,0,6412720
172.16.40.96,172.16.40.180,161,51954,1651680238605,1651680238611,657,0,6532321
172.16.40.115,172.16.40.180,161,51954,1651680238581,1651680238613,639,0,5454799
172.16.40.180,172.16.40.96,51954,161,1651680238611,1651680238616,648,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238608,1651680238619,656,0,6413810
172.16.40.180,172.16.40.115,51954,161,1651680238613,1651680238623,623,0,5513951
172.16.40.96,172.16.40.180,161,51954,1651680238618,1651680238623,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238623,1651680238628,647,0,7153504
172.16.40.103,172.16.40.180,161,51954,1651680238615,1651680238628,647,0,6358906
172.16.40.49,172.16.40.180,161,51954,1651680238621,1651680238629,649,0,6058842
172.16.40.115,172.16.40.180,161,51954,1651680238626,1651680238635,626,0,5454799
172.16.40.180,172.16.40.49,51954,161,1651680238629,1651680238638,646,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238630,1651680238641,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238642,1651680238649,646,0,7153504
172.16.40.49,172.16.40.180,161,51954,1651680238641,1651680238650,648,0,6058842
172.16.40.180,172.16.40.103,51954,161,1651680238628,1651680238656,647,0,6412720
172.16.40.96,172.16.40.180,161,51954,1651680238651,1651680238656,672,0,6532321
172.16.40.180,172.16.40.115,51954,161,1651680238635,1651680238659,618,0,5513951
172.16.40.180,172.16.40.49,51954,161,1651680238650,1651680238661,646,0,6413810
172.16.40.180,172.16.40.96,51954,161,1651680238657,1651680238662,652,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238663,1651680238668,652,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238663,1651680238671,661,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238669,1651680238674,647,0,7153504
172.16.40.115,172.16.40.180,161,51954,1651680238666,1651680238678,620,0,5454799
172.16.40.180,172.16.40.49,51954,161,1651680238671,1651680238679,651,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238682,1651680238687,651,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238682,1651680238691,654,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238688,1651680238693,645,0,7153504
172.16.40.103,172.16.40.180,161,51954,1651680238666,1651680238698,646,0,6358906
172.16.40.96,172.16.40.180,161,51954,1651680238694,1651680238700,670,0,6532321
172.16.40.180,172.16.40.49,51954,161,1651680238691,1651680238703,646,0,6413810
172.16.40.180,172.16.40.96,51954,161,1651680238700,1651680238705,655,0,7153504
172.16.40.180,172.16.40.115,51954,161,1651680238679,1651680238710,618,0,5513951
172.16.40.49,172.16.40.180,161,51954,1651680238705,1651680238713,648,0,6058842
172.16.40.96,172.16.40.180,161,51954,1651680238707,1651680238719,657,0,6532321
172.16.40.180,172.16.40.49,51954,161,1651680238714,1651680238729,646,0,6413810
172.16.40.180,172.16.40.103,51954,161,1651680238698,1651680238729,659,0,6412720
172.16.40.180,172.16.40.96,51954,161,1651680238719,1651680238731,647,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238732,1651680238738,653,0,6532321
172.16.40.115,172.16.40.180,161,51954,1651680238713,1651680238739,619,0,5454799
172.16.40.49,172.16.40.180,161,51954,1651680238732,1651680238742,647,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238738,1651680238745,648,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238742,1651680238751,662,0,6413810
172.16.40.96,172.16.40.180,161,51954,1651680238746,1651680238752,668,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238753,1651680238762,656,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238752,1651680238763,656,0,7153504
172.16.40.103,172.16.40.180,161,51954,1651680238743,1651680238767,657,0,6358906
172.16.40.96,172.16.40.180,161,51954,1651680238766,1651680238772,655,0,6532321
172.16.40.180,172.16.40.115,51954,161,1651680238740,1651680238775,640,0,5513951
172.16.40.180,172.16.40.49,51954,161,1651680238762,1651680238778,648,0,6413810
172.16.40.180,172.16.40.96,51954,161,1651680238772,1651680238779,649,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238781,1651680238787,654,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238780,1651680238789,647,0,6058842
172.16.40.180,172.16.40.103,51954,161,1651680238767,1651680238791,648,0,6412720
172.16.40.180,172.16.40.96,51954,161,1651680238787,1651680238793,647,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238789,1651680238799,646,0,6413810
172.16.40.115,172.16.40.180,161,51954,1651680238778,1651680238799,628,0,5454799
172.16.40.96,172.16.40.180,161,51954,1651680238800,1651680238805,667,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680238801,1651680238809,646,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238806,1651680238811,651,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238813,1651680238818,656,0,6532321
172.16.40.180,172.16.40.49,51954,161,1651680238809,1651680238819,662,0,6413810
172.16.40.180,172.16.40.96,51954,161,1651680238818,1651680238823,653,0,7153504
172.16.40.180,172.16.40.115,51954,161,1651680238799,1651680238826,620,0,5513951
172.16.40.49,172.16.40.180,161,51954,1651680238823,1651680238830,657,0,6058842
172.16.40.96,172.16.40.180,161,51954,1651680238825,1651680238830,651,0,6532321
172.16.40.103,172.16.40.180,161,51954,1651680238812,1651680238831,647,0,6358906
172.16.40.180,172.16.40.49,51954,161,1651680238831,1651680238839,648,0,6413810
172.16.40.180,172.16.40.41,51954,161,1651680237490,1651680238843,1816,0,8951501
172.16.40.180,172.16.40.61,51954,161,1651680236430,1651680238844,2093,0,9194000
172.16.40.2,172.16.40.180,161,51954,1651680238554,1651680238845,1453,0,44873554
172.16.40.180,172.16.40.96,51954,161,1651680238831,1651680238846,649,0,7153504
