src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic,size_traffic
172.16.40.102,172.16.40.180,161,51954,1651680410881,1651680410886,646,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410884,1651680410889,646,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410886,1651680410891,668,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410892,1651680410899,652,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410893,1651680410900,657,0,23773753
172.16.40.95,172.16.40.180,161,51954,1651680410865,1651680410902,657,0,5675354
172.16.40.180,172.16.40.102,51954,161,1651680410900,1651680410905,652,0,23560157
172.16.40.180,172.16.40.101,51954,161,1651680410900,1651680410915,647,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410907,1651680410921,648,0,23773753
172.16.40.101,172.16.40.180,161,51954,1651680410917,1651680410922,667,0,26656285
172.16.40.180,172.16.40.102,51954,161,1651680410921,1651680410926,652,0,23560157
172.16.40.180,172.16.40.101,51954,161,1651680410923,1651680410928,656,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410927,1651680410934,648,0,23773753
172.16.40.101,172.16.40.180,161,51954,1651680410929,1651680410935,653,0,26656285
172.16.40.180,172.16.40.102,51954,161,1651680410934,1651680410939,667,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680410941,1651680410946,657,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410935,1651680410950,648,0,26323621
172.16.40.180,172.16.40.95,51954,161,1651680410902,1651680410952,651,0,5719006
172.16.40.180,172.16.40.77,51954,161,1651680408151,1651680410956,999,0,26691042
172.16.40.101,172.16.40.180,161,51954,1651680410952,1651680410959,1375,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680410963,1651680410969,648,0,26323621
172.16.40.101,172.16.40.180,161,51954,1651680410970,1651680410976,647,0,26656285
172.16.40.214,172.16.40.180,161,51954,1651680407999,1651680410981,1935,0,5360649
172.16.40.180,172.16.40.101,51954,161,1651680410976,1651680410993,667,0,26323621
172.16.40.180,172.16.40.53,51954,161,1651680409776,1651680410996,3328,0,16497072
172.16.40.245,172.16.40.180,161,51954,1651680409320,1651680410996,1384,0,10282354
172.16.40.180,172.16.40.102,51954,161,1651680410946,1651680410998,649,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410994,1651680411002,656,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680411002,1651680411008,654,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680411001,1651680411011,652,0,23773753
172.16.40.101,172.16.40.180,161,51954,1651680411009,1651680411015,647,0,26656285
172.16.40.180,172.16.40.102,51954,161,1651680411011,1651680411016,650,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680411018,1651680411023,650,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680411023,1651680411029,646,0,23560157
172.16.40.180,172.16.40.101,51954,161,1651680411015,1651680411032,651,0,26323621
172.16.40.101,172.16.40.180,161,51954,1651680411033,1651680411039,647,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680411039,1651680411044,667,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680411039,1651680411044,672,0,23773753
