src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic
91.108.12.5,192.168.1.77,537,28150,1588779639152,1588779650102,806,0
192.168.1.77,91.108.8.8,28150,529,1588779649895,1588779650178,1286,0
192.168.1.75,224.0.0.251,5353,5353,1588779647756,1588779650196,1397,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779647757,1588779650197,1537,0
91.108.8.1,192.168.1.77,533,28150,1588779649993,1588779650230,1558,1
192.168.1.77,91.108.8.8,28150,529,1588779650197,1588779650557,1478,0
91.108.8.1,192.168.1.77,533,28150,1588779650293,1588779650657,1926,1
192.168.1.77,91.108.8.8,28150,529,1588779650615,1588779650975,1526,0
192.168.1.75,224.0.0.251,5353,5353,1588779650444,1588779651051,1331,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779650444,1588779651051,1471,0
91.108.8.1,192.168.1.77,533,28150,1588779650720,1588779651082,1686,1
192.168.1.77,91.108.8.8,28150,529,1588779651033,1588779651393,1910,0
91.108.8.1,192.168.1.77,533,28150,1588779651127,1588779651488,1974,1
192.168.1.77,91.108.8.8,28150,529,1588779651463,1588779651695,1558,0
91.108.8.1,192.168.1.77,533,28150,1588779651553,1588779651787,1686,1
192.168.1.77,91.108.8.8,28150,529,1588779651753,1588779652113,1670,0
91.108.8.1,192.168.1.77,533,28150,1588779651851,1588779652214,2006,1
192.168.1.77,91.108.8.8,28150,529,1588779652183,1588779652543,1302,0
91.108.8.1,192.168.1.77,533,28150,1588779652278,1588779652640,1894,1
192.168.1.77,91.108.8.8,28150,529,1588779652601,1588779652961,1302,0
91.108.8.1,192.168.1.77,533,28150,1588779652705,1588779653048,1942,1
192.168.1.77,91.108.8.8,28150,529,1588779653019,1588779653378,1318,0
91.108.8.1,192.168.1.77,533,28150,1588779653109,1588779653472,1926,1
192.168.1.77,91.108.8.8,28150,529,1588779653436,1588779653796,1878,0
91.108.8.1,192.168.1.77,533,28150,1588779653536,1588779653898,1846,1
192.168.1.75,224.0.0.251,5353,5353,1588779651307,1588779653932,1447,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779651307,1588779653932,1587,0
192.168.1.77,91.108.8.8,28150,529,1588779653854,1588779654215,1590,0
91.108.8.1,192.168.1.77,533,28150,1588779653963,1588779654325,1734,1
192.168.1.75,224.0.0.251,5353,5353,1588779654037,1588779654792,1345,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779654038,1588779654793,1485,0
192.168.1.69,224.0.0.251,5353,5353,1588779596465,1588779654853,2471,0
192.168.1.53,239.255.255.250,54306,1900,1588779596464,1588779598465,336,0
192.168.1.77,192.168.1.1,61631,53,1588779600828,1588779600842,184,0
192.168.1.77,255.255.255.255,17500,17500,1588779601222,1588779632305,1012,0
192.168.1.77,192.168.1.255,17500,17500,1588779601223,1588779632305,1012,0
fe80::18a0:a412:8935:c01b,ff02::fb,5353,5353,1588779603292,1588779643386,945,0
192.168.1.77,192.168.1.53,5353,5353,1588779603320,1588779603320,320,0
192.168.1.77,192.168.1.1,52118,53,1588779607374,1588779607388,284,0
192.168.1.75,239.255.255.250,57916,1900,1588779611355,1588779611657,501,0
192.168.1.77,192.168.1.1,61120,53,1588779615019,1588779615032,186,0
192.168.1.52,224.0.0.251,5353,5353,1588779615961,1588779615961,91,0
fe80::4dc:edec:5b0c:a661,ff02::fb,5353,5353,1588779615962,1588779615962,111,0
192.168.1.77,87.11.205.195,23174,60723,1588779617174,1588779618677,212,0
91.108.8.8,192.168.1.77,538,23174,1588779617578,1588779618748,700,0
91.108.16.4,192.168.1.77,538,23174,1588779617703,1588779619007,700,0
